Round,Step,FirstTimeResponse,FullTimeResponse,OverWhelm,NoDispatch,TimeTaken,Cause,CauseRequirement,ActionTaken
0,0,1.89442104,1.89442104,false,false,12.882,[$Code3Med],[ $Ambulance=1:],[dispatch($u2: $Ambulance);]
0,1,1.96326318,1.96326318,false,false,0.648,[$Code3Med],[ $Ambulance=1:],[dispatch($u5: $Ambulance);]
0,2,1.81026318,1.81026318,false,false,0.974,[$Transport],[ $Ambulance=1:],[dispatch($u5: $Ambulance);]
0,3,8.70700002,8.70700002,false,false,0.678,[$Code3Med],[ $Ambulance=1:],[dispatch($u2: $Ambulance);]
0,4,13.64235,394.73684208,true,false,0.67,[$Code3Med],[ $Ambulance=1:],[dispatch($u4: $Ladder);]
0,5,2.7923684399999997,394.73684208,true,false,0.613,[$Code3Med],[ $Ambulance=1:],[dispatch($u3: $Engine);]
0,6,24.49164,394.73684208,true,false,1.422,[$MVA],[ $Engine=1: $Ambulance=1:],[dispatch($u1: $Command);: dispatch($u4: $Ladder);]
0,7,27.91224,27.91224,false,false,0.64,[$Code3Trauma],[ $Engine=1:],[dispatch($u3: $Engine);]
0,8,3.1324737,394.73684208,true,false,0.494,[$Fire],[ $Engine=1:],[dispatch($u2: $Ambulance);]
0,9,0.9911052599999999,0.9911052599999999,false,false,0.579,[$Code3Med],[ $Ambulance=1:],[dispatch($u5: $Ambulance);]
0,10,0.67626318,0.67626318,false,false,0.669,[$Code3Med],[ $Ambulance=1:],[dispatch($u5: $Ambulance);]
0,11,3.3865263,6.1683157799999995,false,false,0.624,[$Other],[ $Engine=1: $Ambulance=1:],[dispatch($u2: $Ambulance);: dispatch($u3: $Engine);]
0,12,6.11131578,6.11131578,false,false,0.427,[$Code3Med],[ $Ambulance=1:],[dispatch($u5: $Ambulance);]
0,13,7.1984286,394.73684208,true,false,0.466,[$Code1Medical],[ $Ambulance=1:],[dispatch($u1: $Command);]
0,14,6.12394734,394.73684208,true,false,0.371,[$StructureFire],[ $Engine=2: $Ladder=1: $Command=1:],[dispatch($u4: $Ladder);]
0,15,3.4978420800000003,3.4978420800000003,false,false,0.615,[$Code3Med],[ $Ambulance=1:],[dispatch($u5: $Ambulance);]
0,16,4.65442104,4.65442104,false,false,0.605,[$Code3Med],[ $Ambulance=1:],[dispatch($u2: $Ambulance);]
0,17,0.9911052599999999,0.9911052599999999,false,false,0.538,[$Code1Medical],[ $Ambulance=1:],[dispatch($u5: $Ambulance);]
0,18,5.422263180000001,5.422263180000001,false,false,0.602,[$Code3Trauma],[ $Engine=1:],[dispatch($u3: $Engine);]
0,19,6.086842079999999,6.086842079999999,false,false,0.707,[$Code3Med],[ $Ambulance=1:],[dispatch($u2: $Ambulance);]
0,20,9.67414284,394.73684208,true,false,0.463,[$StructureFire],[ $Engine=2: $Ladder=1: $Command=1:],[dispatch($u1: $Command);]
0,21,2.92357896,2.92357896,false,false,0.54,[$Code3Med],[ $Ambulance=1:],[dispatch($u2: $Ambulance);]
0,22,4.171578960000001,5.7505263,false,false,0.525,[$MVA],[ $Engine=1: $Ambulance=1:],[dispatch($u3: $Engine);: dispatch($u5: $Ambulance);]
0,23,4.5658420799999995,4.5658420799999995,false,false,0.499,[$Fire],[ $Engine=1:],[dispatch($u3: $Engine);]
0,24,11.36745,11.36745,false,false,0.622,[$Code3Med],[ $Ambulance=1:],[dispatch($u2: $Ambulance);]
